Protein	Entry	Protein description	Gene.names	Gene	Mitochondrion	Annotation (general)	AgingAnnotation (elife paper)	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval
AKP13_HUMAN	Q12802	A-kinase anchor protein 13 (AKAP-13) (AKAP-Lbc) (Breast cancer nuclear receptor-binding auxiliary protein) (Guanine nucleotide exchange factor Lbc) (Human thyroid-anchoring protein 31) (Lymphoid blast crisis oncogene) (LBC oncogene) (Non-oncogenic Rho GTPase-specific GTP exchange factor) (Protein kinase A-anchoring protein 13) (PRKA13) (p47)	AKAP13 BRX HT31 LBC	AKAP13	FALSE	NA	NA	ENSG00000170776	AKAP13	protein_coding	A-kinase anchoring protein 13 [Source:HGNC Symbol;Acc:HGNC:371]	-0.577963159183543	-0.0683407025076634	0.479630278281511	-0.539590260690795	-0.0377665443960788	0.483857193096312	0	0.81643159783318	0.893698250438596
AKP8L_HUMAN	Q9ULX6	A-kinase anchor protein 8-like (AKAP8-like protein) (Helicase A-binding protein 95) (HAP95) (Homologous to AKAP95 protein) (HA95) (Neighbor of A-kinase-anchoring protein 95) (Neighbor of AKAP95)	AKAP8L NAKAP NAKAP95 HRIHFB2018	AKAP8L	FALSE	NA	NA	ENSG00000011243	AKAP8L	protein_coding	A-kinase anchoring protein 8 like [Source:HGNC Symbol;Acc:HGNC:29857]	-0.363428977936314	0.207081659920234	0.664635479564523	-0.663039107066041	-0.228327903866913	0.321543978224277	0	0.477489017683877	0.41307794669509
AKTIP_HUMAN	Q9H8T0	AKT-interacting protein (Ft1) (Fused toes protein homolog)	AKTIP FTS	AKTIP	FALSE	NA	NA	ENSG00000166971	AKTIP	protein_coding	AKT interacting protein [Source:HGNC Symbol;Acc:HGNC:16710]	-0.212213268677698	0.209082156241102	0.564838649356107	-0.382387711826151	0.0150112909260638	0.407723806563873	0	0.326838084283684	0.943224564261327
ALBU_HUMAN	P02768	Albumin	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	ALB	FALSE	NA	NA	ENSG00000163631	ALB	protein_coding	albumin [Source:HGNC Symbol;Acc:HGNC:399]	-0.136685559915344	0.249093710367884	0.569267934307362	-0.293976134747754	0.0673831187782306	0.411888759243997	0	0.201162181220798	0.718723263646092
ALG1_HUMAN	Q9BT22	Chitobiosyldiphosphodolichol beta-mannosyltransferase (EC 2.4.1.142) (Asparagine-linked glycosylation protein 1 homolog) (Beta-1,4-mannosyltransferase) (GDP-Man:GlcNAc2-PP-dolichol mannosyltransferase) (GDP-mannose-dolichol diphosphochitobiose mannosyltransferase) (Mannosyltransferase-1) (MT-1) (hMat-1)	ALG1 HMAT1 HMT1 PSEC0061 UNQ861/PRO1870	ALG1	FALSE	NA	NA	ENSG00000033011	ALG1	protein_coding	ALG1 chitobiosyldiphosphodolichol beta-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:18294]	-0.100868020575686	0.37030694969084	0.705802478667013	-0.413948596775953	0.0215975883051109	0.449097257416907	0	0.118610629623827	0.925965082368013
ALG12_HUMAN	Q9BV10	Dol-P-Man:Man(7)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase (EC 2.4.1.260) (Asparagine-linked glycosylation protein 12 homolog) (hALG12) (Dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichyl-alpha-1,6-mannosyltransferase) (Mannosyltransferase ALG12 homolog) (Membrane protein SB87)	ALG12 PP14673	ALG12	FALSE	NA	NA	ENSG00000182858	ALG12	protein_coding	ALG12 alpha-1,6-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:19358]	-0.508753174197925	0.677705184460649	0.976253502685927	-0.88773888814604	-0.0252445722228368	0.876544640086174	0	0.208696377638582	0.967861026677666
ALG2_HUMAN	Q9H553	Alpha-1,3/1,6-mannosyltransferase ALG2 (EC 2.4.1.132) (EC 2.4.1.257) (Asparagine-linked glycosylation protein 2 homolog) (GDP-Man:Man(1)GlcNAc(2)-PP-Dol alpha-1,3-mannosyltransferase) (GDP-Man:Man(1)GlcNAc(2)-PP-dolichol mannosyltransferase) (GDP-Man:Man(2)GlcNAc(2)-PP-Dol alpha-1,6-mannosyltransferase)	ALG2 UNQ666/PRO1298	ALG2	FALSE	NA	NA	ENSG00000119523	ALG2	protein_coding	ALG2 alpha-1,3/1,6-mannosyltransferase [Source:HGNC Symbol;Acc:HGNC:23159]	-0.34666373370721	0.0303367095259624	0.398898929401109	-0.496191713976661	-0.172112527320581	0.194062777614122	0	0.878206674676702	0.35453072444171
ALKB4_HUMAN	Q9NXW9	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 4 (Alkylated DNA repair protein alkB homolog 4) (DNA N6-methyl adenine demethylase ALKBH4) (EC 1.14.11.51) (Lysine-specific demethylase ALKBH4) (EC 1.14.11.-)	ALKBH4 ABH4	ALKBH4	FALSE	NA	NA	ENSG00000160993	ALKBH4	protein_coding	alkB homolog 4, lysine demethylase [Source:HGNC Symbol;Acc:HGNC:21900]	-0.52170973328556	0.668052613464746	0.975411260434799	-0.829873087055373	0.195621008821627	0.919236539655211	0	0.217787845842749	0.752525407690782
ALKB7_HUMAN	Q9BT30	Alpha-ketoglutarate-dependent dioxygenase alkB homolog 7, mitochondrial (EC 1.14.11.-) (Alkylated DNA repair protein alkB homolog 7) (Spermatogenesis cell proliferation-related protein) (Spermatogenesis-associated protein 11)	ALKBH7 ABH7 SPATA11 UNQ6002/PRO34564	ALKBH7	TRUE	NA	NA	ENSG00000125652	ALKBH7	protein_coding	alkB homolog 7 [Source:HGNC Symbol;Acc:HGNC:21306]	-0.814058410492975	-0.326399118567436	0.431191407500326	-0.803512858504858	-0.351934978515358	0.356740582239656	0	0.391304449587132	0.318618256946948
AMFR_HUMAN	Q9UKV5	E3 ubiquitin-protein ligase AMFR (EC 2.3.2.36) (Autocrine motility factor receptor) (AMF receptor) (RING finger protein 45) (gp78)	AMFR RNF45	AMFR	FALSE	NA	NA	ENSG00000159461	AMFR	protein_coding	autocrine motility factor receptor [Source:HGNC Symbol;Acc:HGNC:463]	-0.877959773177652	0.019106238405755	0.886430292468602	-0.955441074177091	-0.465942803139898	0.70693412705115	0	0.975674661869174	0.42896927998447
AMN1_HUMAN	Q8IY45	Protein AMN1 homolog	AMN1	AMN1	FALSE	NA	NA	ENSG00000151743	AMN1	protein_coding	antagonist of mitotic exit network 1 homolog [Source:HGNC Symbol;Acc:HGNC:27281]	-0.840454056739311	-0.399089848830246	0.360609264725527	-0.670844560659152	-0.0713589534037525	0.584529971021115	0	0.287305463260332	0.844694729041753
AMPE_HUMAN	Q07075	Glutamyl aminopeptidase (EAP) (EC 3.4.11.7) (Aminopeptidase A) (AP-A) (Differentiation antigen gp160) (CD antigen CD249)	ENPEP	ENPEP	FALSE	NA	NA	ENSG00000138792	ENPEP	protein_coding	glutamyl aminopeptidase [Source:HGNC Symbol;Acc:HGNC:3355]	-0.917846383221077	-0.649845776550587	0.0251149645871516	-0.770306916598159	-0.273169159258095	0.430500927333267	0	0.0581527195996275	0.445072062313541
AMPH_HUMAN	P49418	Amphiphysin	AMPH AMPH1	AMPH	FALSE	NA	NA	ENSG00000078053	AMPH	protein_coding	amphiphysin [Source:HGNC Symbol;Acc:HGNC:471]	-0.3556495393038	0.0557447501290136	0.449043702436397	-0.547380747266694	-0.194267362618749	0.217563972412693	0	0.795855434440946	0.352104273171056
AMPN_HUMAN	P15144	Aminopeptidase N (AP-N) (hAPN) (EC 3.4.11.2) (Alanyl aminopeptidase) (Aminopeptidase M) (AP-M) (Microsomal aminopeptidase) (Myeloid plasma membrane glycoprotein CD13) (gp150) (CD antigen CD13)	ANPEP APN CD13 PEPN	ANPEP	FALSE	NA	NA	ENSG00000166825	ANPEP	protein_coding	alanyl aminopeptidase, membrane [Source:HGNC Symbol;Acc:HGNC:500]	-0.389556222597364	0.0785520715785244	0.514407762087115	-0.332067606909758	0.129479823134855	0.541002507303971	0	0.749233978856299	0.58639623239762
AN13A_HUMAN	Q8IZ07	Ankyrin repeat domain-containing protein 13A (Protein KE03)	ANKRD13A ANKRD13	ANKRD13A	FALSE	NA	NA	ENSG00000076513	ANKRD13A	protein_coding	ankyrin repeat domain 13A [Source:HGNC Symbol;Acc:HGNC:21268]	-0.446969912794057	0.37619098695623	0.854376008510035	-0.491714982131404	0.153411419057041	0.689805257184154	0	0.358364568403193	0.652461556328217
ANAG_HUMAN	P54802	Alpha-N-acetylglucosaminidase (EC 3.2.1.50) (N-acetyl-alpha-glucosaminidase) (NAG) [Cleaved into: Alpha-N-acetylglucosaminidase 82 kDa form; Alpha-N-acetylglucosaminidase 77 kDa form]	NAGLU UFHSD1	NAGLU	FALSE	NA	NA	ENSG00000108784	NAGLU	protein_coding	N-acetyl-alpha-glucosaminidase [Source:HGNC Symbol;Acc:HGNC:7632]	-0.485851132110546	0.207140371209666	0.740225679334269	-0.80426420614624	-0.353794400469752	0.354885598049617	0	0.565827090914036	0.315888812820417
ANC2_HUMAN	Q9UJX6	Anaphase-promoting complex subunit 2 (APC2) (Cyclosome subunit 2)	ANAPC2 APC2 KIAA1406	ANAPC2	FALSE	NA	NA	ENSG00000176248	ANAPC2	protein_coding	anaphase promoting complex subunit 2 [Source:HGNC Symbol;Acc:HGNC:19989]	-0.992438881796611	-0.678907057303265	0.812002685727988	-0.966600009050332	-0.572913441884235	0.625539732289246	0	0.321092942696735	0.312689343601625
ANCHR_HUMAN	Q96K21	Abscission/NoCut checkpoint regulator (ANCHR) (MLL partner containing FYVE domain) (Zinc finger FYVE domain-containing protein 19)	ZFYVE19 ANCHR MPFYVE	ZFYVE19	FALSE	NA	NA	ENSG00000166140	ZFYVE19	protein_coding	zinc finger FYVE-type containing 19 [Source:HGNC Symbol;Acc:HGNC:20758]	-0.882919041288925	-0.528963227278798	0.208351532773402	-0.700027010666553	-0.125885368236761	0.547104868132989	0	0.143114224479578	0.728948310777729
ANGE2_HUMAN	Q5VTE6	Protein angel homolog 2	ANGEL2 KIAA0759L	ANGEL2	FALSE	NA	NA	ENSG00000174606	ANGEL2	protein_coding	angel homolog 2 [Source:HGNC Symbol;Acc:HGNC:30534]	-0.840446449849683	0.161777955134321	0.913639469758371	0.347730126440263	0.941234607377223	0.996220178495237	1	0.79491996833084	0.0169492554349814
ANGI_HUMAN	P03950	Angiogenin (EC 3.1.27.-) (Ribonuclease 5) (RNase 5)	ANG RNASE5	ANG	FALSE	NA	NA	ENSG00000214274	ANG	protein_coding	angiogenin [Source:HGNC Symbol;Acc:HGNC:483]	-0.704093698322027	-0.0750794213297964	0.619954373141023	-0.651508312639284	-0.0371011586509797	0.606697513916959	0	0.847766112465286	0.918952837956412
ANGL2_HUMAN	Q9UKU9	Angiopoietin-related protein 2 (Angiopoietin-like protein 2)	ANGPTL2 ARP2 UNQ170/PRO196	ANGPTL2	FALSE	NA	NA	ENSG00000136859	ANGPTL2	protein_coding	angiopoietin like 2 [Source:HGNC Symbol;Acc:HGNC:490]	-0.739915349320252	-0.430329743870469	0.0296809799129389	-0.365954315442702	0.0913618178346844	0.513136736705502	1	0.0658972875281329	0.701662747105864
ANKH_HUMAN	Q9HCJ1	Progressive ankylosis protein homolog (ANK)	ANKH KIAA1581 UNQ241/PRO274	ANKH	FALSE	NA	NA	ENSG00000154122	ANKH	protein_coding	ANKH inorganic pyrophosphate transport regulator [Source:HGNC Symbol;Acc:HGNC:15492]	-0.904180198101846	-0.108338050442201	0.855720753002061	-0.982106557999268	-0.747752134774743	0.395300776454859	0	0.862330024306696	0.146190333945349
ANKL2_HUMAN	Q86XL3	Ankyrin repeat and LEM domain-containing protein 2 (LEM domain-containing protein 4)	ANKLE2 KIAA0692 LEM4	ANKLE2	FALSE	NA	NA	ENSG00000176915	ANKLE2	protein_coding	ankyrin repeat and LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:29101]	-0.994337697825598	-0.749649487912627	0.756426781906173	-0.900578887939035	-0.0891336493701334	0.860827965837927	0	0.250350512087372	0.886661966479928
ANKMT_HUMAN	Q9BQD7	Adenine nucleotide translocase lysine N-methyltransferase (ANT-KMT) (EC 2.1.1.-)	ANTKMT C16orf24 FAM173A RJD7	ANTKMT	TRUE	NA	NA	ENSG00000103254	FAM173A	protein_coding	adenine nucleotide translocase lysine methyltransferase [Source:HGNC Symbol;Acc:HGNC:14152]	-0.949008289011706	0.137383299236733	0.970348210226041	-0.976458898701627	-0.680074847627549	0.50548805037266	0	0.862616700763267	0.206481068113712
ANM3_HUMAN	O60678	Protein arginine N-methyltransferase 3 (EC 2.1.1.-) (Heterogeneous nuclear ribonucleoprotein methyltransferase-like protein 3)	PRMT3 HRMT1L3	PRMT3	FALSE	NA	NA	ENSG00000185238	PRMT3	protein_coding	protein arginine methyltransferase 3 [Source:HGNC Symbol;Acc:HGNC:30163]	-0.856187437940391	0.592220693220474	0.989887758955181	-0.97873487689659	-0.706754062381456	0.466224490905001	0	0.407779306779526	0.18200775148734
ANM9_HUMAN	Q6P2P2	Protein arginine N-methyltransferase 9 (Protein arginine N-methyltransferase 10) (EC 2.1.1.320)	PRMT9 PRMT10	PRMT9	FALSE	NA	NA	ENSG00000164169	PRMT9	protein_coding	protein arginine methyltransferase 9 [Source:HGNC Symbol;Acc:HGNC:25099]	-0.575753164942749	-0.0650432620518456	0.482176449463838	-0.713134708144558	-0.316489354052296	0.233654974769632	0	0.825161079613665	0.250444988968175
ANPRB_HUMAN	P20594	Atrial natriuretic peptide receptor 2 (EC 4.6.1.2) (Atrial natriuretic peptide receptor type B) (ANP-B) (ANPR-B) (NPR-B) (Guanylate cyclase B) (GC-B)	NPR2 ANPRB	NPR2	FALSE	NA	NA	ENSG00000159899	NPR2	protein_coding	natriuretic peptide receptor 2 [Source:HGNC Symbol;Acc:HGNC:7944]	-0.802695242026939	0.27268247596814	0.930976004102718	-0.991829545391984	-0.876911198322893	0.0236610746921164	-1	0.657161795179107	0.050871693581912
ANR10_HUMAN	Q9NXR5	Ankyrin repeat domain-containing protein 10	ANKRD10	ANKRD10	FALSE	NA	NA	ENSG00000088448	ANKRD10	protein_coding	ankyrin repeat domain 10 [Source:HGNC Symbol;Acc:HGNC:20265]	-0.532865838814246	0.203147167341862	0.764171149689527	-0.915680900531271	-0.700691696715816	-0.17392005464941	-1	0.600121481043075	0.0163189276928174
ANR11_HUMAN	Q6UB99	Ankyrin repeat domain-containing protein 11 (Ankyrin repeat-containing cofactor 1)	ANKRD11 ANCO1	ANKRD11	FALSE	NA	NA	ENSG00000167522	ANKRD11	protein_coding	ankyrin repeat domain 11 [Source:HGNC Symbol;Acc:HGNC:21316]	-0.8493662588011	-0.424953301513302	0.333206057268532	-0.692331471988156	-0.111161664075625	0.557483046016217	0	0.25421558019612	0.759816430926712
ANR23_HUMAN	Q86SG2	Ankyrin repeat domain-containing protein 23 (Diabetes-related ankyrin repeat protein) (Muscle ankyrin repeat protein 3)	ANKRD23 DARP	ANKRD23	FALSE	NA	NA	ENSG00000163126	ANKRD23	protein_coding	ankyrin repeat domain 23 [Source:HGNC Symbol;Acc:HGNC:24470]	-0.506297943731612	-0.0516325271852089	0.425494378558184	-0.209731235109882	0.244051531062689	0.611332135148192	0	0.838770306180329	0.286365304000988
ANR44_HUMAN	Q8N8A2	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit B (PP6-ARS-B) (Serine/threonine-protein phosphatase 6 regulatory subunit ARS-B) (Ankyrin repeat domain-containing protein 44)	ANKRD44	ANKRD44	FALSE	NA	NA	ENSG00000065413	ANKRD44	protein_coding	ankyrin repeat domain 44 [Source:HGNC Symbol;Acc:HGNC:25259]	-0.417565527810911	0.287700065362631	0.776642587610334	-0.297805635556455	0.408397811233078	0.825704186148442	0	0.42021170407507	0.241314733020767
ANS1A_HUMAN	Q92625	Ankyrin repeat and SAM domain-containing protein 1A (Odin)	ANKS1A ANKS1 KIAA0229 ODIN	ANKS1A	FALSE	NA	NA	ENSG00000064999	ANKS1A	protein_coding	ankyrin repeat and sterile alpha motif domain containing 1A [Source:HGNC Symbol;Acc:HGNC:20961]	-0.939098932962856	-0.331453412511985	0.778457513118453	-0.714514714693128	0.453864274868023	0.954086568294009	0	0.585840303204315	0.442625095433521
AOXA_HUMAN	Q06278	Aldehyde oxidase (EC 1.2.3.1) (Aldehyde oxidase 1) (Azaheterocycle hydroxylase) (EC 1.17.3.-)	AOX1 AO	AOX1	FALSE	NA	NA	ENSG00000138356	AOX1	protein_coding	aldehyde oxidase 1 [Source:HGNC Symbol;Acc:HGNC:553]	0.107584956903111	0.497715085057768	0.755018283235969	-0.318207150342104	0.0788656194373824	0.452397383499815	-1	0.015662566284726	0.701751520377544
AP1S2_HUMAN	P56377	AP-1 complex subunit sigma-2 (Adaptor protein complex AP-1 subunit sigma-1B) (Adaptor-related protein complex 1 subunit sigma-1B) (Clathrin assembly protein complex 1 sigma-1B small chain) (Golgi adaptor HA1/AP1 adaptin sigma-1B subunit) (Sigma 1B subunit of AP-1 clathrin) (Sigma-adaptin 1B) (Sigma1B-adaptin)	AP1S2 DC22	AP1S2	FALSE	NA	NA	ENSG00000182287	AP1S2	protein_coding	adaptor related protein complex 1 subunit sigma 2 [Source:HGNC Symbol;Acc:HGNC:560]	-0.419098374913659	0.339523776250662	0.818978113934037	-0.796600215857575	-0.334993309413177	0.373388267709214	0	0.371373480077923	0.344047967469122
AP2S1_HUMAN	P53680	AP-2 complex subunit sigma (Adaptor protein complex AP-2 subunit sigma) (Adaptor-related protein complex 2 subunit sigma) (Clathrin assembly protein 2 sigma small chain) (Clathrin coat assembly protein AP17) (Clathrin coat-associated protein AP17) (HA2 17 kDa subunit) (Plasma membrane adaptor AP-2 17 kDa protein) (Sigma2-adaptin)	AP2S1 AP17 CLAPS2	AP2S1	FALSE	NA	NA	ENSG00000042753	AP2S1	protein_coding	adaptor related protein complex 2 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:565]	-0.4073600763603	0.0734858463110863	0.52243213921514	-0.0798606774340613	0.3643883158767	0.687871754948893	0	0.771982189672627	0.104378289830759
AP4AT_HUMAN	Q96N21	AP-4 complex accessory subunit Tepsin (ENTH domain-containing protein 2) (Epsin for AP-4) (Tetra-epsin)	TEPSIN C17orf56 ENTHD2	TEPSIN	FALSE	NA	NA	ENSG00000167302	ENTHD2	protein_coding	TEPSIN adaptor related protein complex 4 accessory protein [Source:HGNC Symbol;Acc:HGNC:26458]	-0.995015162312996	-0.923174689808335	-0.220513123346736	-0.984249994670579	-0.774778777793887	0.339679214153889	0	0.0252651161652456	0.123880442440757
AP4E1_HUMAN	Q9UPM8	AP-4 complex subunit epsilon-1 (AP-4 adaptor complex subunit epsilon) (Adaptor-related protein complex 4 subunit epsilon-1) (Epsilon subunit of AP-4) (Epsilon-adaptin)	AP4E1	AP4E1	FALSE	NA	NA	ENSG00000081014	AP4E1	protein_coding	adaptor related protein complex 4 subunit epsilon 1 [Source:HGNC Symbol;Acc:HGNC:573]	-0.386489479982398	0.156821553858607	0.619331139710799	-0.36579369063676	0.180243664731831	0.633970647011662	0	0.576743064549212	0.52034234640801
AP4M1_HUMAN	O00189	AP-4 complex subunit mu-1 (AP-4 adaptor complex mu subunit) (Adaptor-related protein complex 4 subunit mu-1) (Mu subunit of AP-4) (Mu-adaptin-related protein 2) (mu-ARP2) (Mu4-adaptin) (mu4)	AP4M1 MUARP2	AP4M1	FALSE	NA	NA	ENSG00000221838	AP4M1	protein_coding	adaptor related protein complex 4 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:574]	-0.707497606052303	-0.140424819335412	0.536649425602908	-0.50907694282217	0.177416286099214	0.725949680615059	0	0.698806685634818	0.623888878658019
AP4S1_HUMAN	Q9Y587	AP-4 complex subunit sigma-1 (AP-4 adaptor complex subunit sigma-1) (Adaptor-related protein complex 4 subunit sigma-1) (Sigma-1 subunit of AP-4) (Sigma-4-adaptin) (Sigma4-adaptin)	AP4S1	AP4S1	FALSE	NA	NA	ENSG00000100478	AP4S1	protein_coding	adaptor related protein complex 4 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:575]	-0.458369327143787	0.240732789340908	0.755801044002714	-0.469859848200023	0.226888166597108	0.7494517232281	0	0.502868359165962	0.528452230005051
AP5M1_HUMAN	Q9H0R1	AP-5 complex subunit mu-1 (Adaptor-related protein complex 5 subunit mu-1) (Mu5) (Mu-2-related death-inducing protein) (MuD) (Putative HIV-1 infection-related protein)	AP5M1 C14orf108 MUDENG	AP5M1	FALSE	NA	NA	ENSG00000053770	AP5M1	protein_coding	adaptor related protein complex 5 subunit mu 1 [Source:HGNC Symbol;Acc:HGNC:20192]	-0.714332546434223	-0.153944896604209	0.526736821769401	-0.853094145230888	-0.482788021101839	0.210967275261393	0	0.671113451805834	0.157546099480261
AP5S1_HUMAN	Q9NUS5	AP-5 complex subunit sigma-1 (Adaptor-related protein complex 5 sigma subunit) (Sigma5)	AP5S1 C20orf29	AP5S1	FALSE	NA	NA	ENSG00000125843	AP5S1	protein_coding	adaptor related protein complex 5 subunit sigma 1 [Source:HGNC Symbol;Acc:HGNC:15875]	-0.519521670325784	0.66971130195592	0.975556632159075	-0.699653292725344	0.477146279164702	0.956679288642086	0	0.216217920430131	0.416390166013777
APBA1_HUMAN	Q02410	Amyloid-beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1) (Mint-1)	APBA1 MINT1 X11	APBA1	FALSE	NA	NA	ENSG00000107282	APBA1	protein_coding	amyloid beta precursor protein binding family A member 1 [Source:HGNC Symbol;Acc:HGNC:578]	-0.94070458157845	-0.343656964624975	0.772972364533057	-0.70089895147287	0.475256250142717	0.956471610908006	0	0.571214367744469	0.418506252885203
APBA2_HUMAN	Q99767	Amyloid-beta A4 precursor protein-binding family A member 2 (Adapter protein X11beta) (Neuron-specific X11L protein) (Neuronal Munc18-1-interacting protein 2) (Mint-2)	APBA2 MINT2 X11L	APBA2	FALSE	NA	NA	ENSG00000034053	APBA2	protein_coding	amyloid beta precursor protein binding family A member 2 [Source:HGNC Symbol;Acc:HGNC:579]	-0.991826161818662	-0.657257681361956	0.824910245695203	-0.92851499223053	-0.2557962028625	0.80905897791831	0	0.342742318638044	0.677897599965327
APBB1_HUMAN	O00213	Amyloid-beta A4 precursor protein-binding family B member 1 (Protein Fe65)	APBB1 FE65 RIR	APBB1	FALSE	NA	NA	ENSG00000166313	APBB1	protein_coding	amyloid beta precursor protein binding family B member 1 [Source:HGNC Symbol;Acc:HGNC:581]	-0.936506221120823	-0.312167884517892	0.786793451338804	-0.981261035878861	-0.737300318087443	0.414775865383529	0	0.609088719990952	0.155103833399832
APBB2_HUMAN	Q92870	Amyloid-beta A4 precursor protein-binding family B member 2 (Protein Fe65-like 1)	APBB2 FE65L FE65L1	APBB2	FALSE	NA	NA	ENSG00000163697	APBB2	protein_coding	amyloid beta precursor protein binding family B member 2 [Source:HGNC Symbol;Acc:HGNC:582]	-0.990459275137545	-0.857645353337532	0.101184582401666	-0.566615994259979	0.631182538922607	0.972109318359759	1	0.063080247892291	0.253471823530416
APC1_HUMAN	Q9H1A4	Anaphase-promoting complex subunit 1 (APC1) (Cyclosome subunit 1) (Mitotic checkpoint regulator) (Testis-specific gene 24 protein)	ANAPC1 TSG24	ANAPC1	FALSE	NA	NA	ENSG00000153107	ANAPC1	protein_coding	anaphase promoting complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:19988]	-0.780004444175047	-0.425534080395189	0.135678975071115	-0.510157748571867	0.00284986422573322	0.514361801879885	0	0.129278322862574	0.991957597531365
APC5_HUMAN	Q9UJX4	Anaphase-promoting complex subunit 5 (APC5) (Cyclosome subunit 5)	ANAPC5 APC5	ANAPC5	FALSE	NA	NA	ENSG00000089053	ANAPC5	protein_coding	anaphase promoting complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:15713]	-0.60007159563457	-0.101952221318398	0.453139288606277	-0.243489069216763	0.307075414998408	0.707971921410426	0	0.728734103105064	0.265583060843103
APC7_HUMAN	Q9UJX3	Anaphase-promoting complex subunit 7 (APC7) (Cyclosome subunit 7)	ANAPC7 APC7	ANAPC7	FALSE	NA	NA	ENSG00000196510	ANAPC7	protein_coding	anaphase promoting complex subunit 7 [Source:HGNC Symbol;Acc:HGNC:17380]	-0.27852134181652	0.295765746950877	0.714258614404266	-0.599513100172608	-0.12592192176118	0.412980264408386	0	0.304570136350842	0.654751345574693
APLP2_HUMAN	Q06481	Amyloid-like protein 2 (APLP-2) (APPH) (Amyloid protein homolog) (CDEI box-binding protein) (CDEBP)	APLP2 APPL2	APLP2	FALSE	NA	NA	ENSG00000084234	APLP2	protein_coding	amyloid beta precursor like protein 2 [Source:HGNC Symbol;Acc:HGNC:598]	-0.544429169154255	0.873943432670953	0.997334021683594	-0.447465452398063	0.718422497670669	0.979709687124085	0	0.126056567329047	0.171584786199
APOBR_HUMAN	Q0VD83	Apolipoprotein B receptor (Apolipoprotein B-100 receptor) (Apolipoprotein B-48 receptor) (Apolipoprotein B48 receptor) (apoB-48R)	APOBR APOB48R	APOBR	FALSE	NA	NA	ENSG00000184730	APOBR	protein_coding	apolipoprotein B receptor [Source:HGNC Symbol;Acc:HGNC:24087]	-0.805948430551044	0.264132079287131	0.929737298652942	-0.368125650499014	0.761447391578949	0.983200346828375	0	0.667648979392866	0.134748687817147
APOL3_HUMAN	O95236	Apolipoprotein L3 (Apolipoprotein L-III) (ApoL-III) (TNF-inducible protein CG12-1) (CG12_1)	APOL3	APOL3	FALSE	NA	NA	ENSG00000128284	APOL3	protein_coding	apolipoprotein L3 [Source:HGNC Symbol;Acc:HGNC:14868]	-0.299564161165748	0.455097946247085	0.859457003790568	-0.471597502487639	0.224769711093611	0.748471618249468	0	0.218359921965429	0.532412888651403
AQR_HUMAN	O60306	RNA helicase aquarius (EC 3.6.4.13) (Intron-binding protein of 160 kDa) (IBP160)	AQR KIAA0560	AQR	FALSE	NA	NA	ENSG00000021776	AQR	protein_coding	aquarius intron-binding spliceosomal factor [Source:HGNC Symbol;Acc:HGNC:29513]	-0.741294591093669	-0.347322477134283	0.224657378431396	-0.467573433331662	0.058764779861044	0.554340310090423	0	0.223706489010945	0.835206606988647
AR2BP_HUMAN	Q9Y2Y0	ADP-ribosylation factor-like protein 2-binding protein (ARF-like 2-binding protein) (ARL2-binding protein) (Binder of ARF2 protein 1)	ARL2BP BART BART1	ARL2BP	TRUE	NA	NA	ENSG00000102931	ARL2BP	protein_coding	ADP ribosylation factor like GTPase 2 binding protein [Source:HGNC Symbol;Acc:HGNC:17146]	-0.905480648475033	-0.115421966389108	0.853788210790927	-0.857192969203605	0.102874991306996	0.903167123158327	0	0.853367148662942	0.869246901671191
AR6P1_HUMAN	Q15041	ADP-ribosylation factor-like protein 6-interacting protein 1 (ARL-6-interacting protein 1) (Aip-1) (Apoptotic regulator in the membrane of the endoplasmic reticulum)	ARL6IP1 ARL6IP ARMER KIAA0069	ARL6IP1	FALSE	NA	NA	ENSG00000170540	ARL6IP1	protein_coding	ADP ribosylation factor like GTPase 6 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:697]	-0.0436948840903615	0.957606489090471	0.999140958154288	-0.960788252277103	-0.515475966660113	0.672747260853869	-1	0.0423935109095287	0.374026775149249
