Protein	Entry	Protein.description	Gene.names	Gene	Mitochondrion	Annotation..general.	AgingAnnotation..elife.paper.	ENSG	name	type	description	r_CTR_lower	r_CTR	r_CTR_upper	r_PAD_lower	r_PAD	r_PAD_upper	diff	r_CTR_pval	r_PAD_pval	group
BIG2_HUMAN	Q9Y6D5	Brefeldin A-inhibited guanine nucleotide-exchange protein 2 (Brefeldin A-inhibited GEP 2) (ADP-ribosylation factor guanine nucleotide-exchange factor 2)	ARFGEF2 ARFGEP2 BIG2	ARFGEF2	FALSE	NA	NA	ENSG00000124198	ARFGEF2	protein_coding	ADP ribosylation factor guanine nucleotide exchange factor 2 [Source:HGNC Symbol;Acc:HGNC:15853]	-0.1443019673	 0.2417920119	 0.5639928276	-0.4731579672	-1.427514e-01	 2.228616e-01	 0	2.151219e-01	0.4436286285	
BIN2_HUMAN	Q9UBW5	Bridging integrator 2 (Breast cancer-associated protein 1)	BIN2 BRAP1	BIN2	FALSE	NA	NA	ENSG00000110934	BIN2	protein_coding	bridging integrator 2 [Source:HGNC Symbol;Acc:HGNC:1053]	-0.3569124342	 0.0648271121	 0.4646139322	-0.4809334608	-1.150061e-01	 2.850440e-01	 0	7.688563e-01	0.5758620239	
BIP_HUMAN	P11021	Endoplasmic reticulum chaperone BiP (EC 3.6.4.10) (78 kDa glucose-regulated protein) (GRP-78) (Binding-immunoglobulin protein) (BiP) (Heat shock protein 70 family protein 5) (HSP70 family protein 5) (Heat shock protein family A member 5) (Immunoglobulin heavy chain-binding protein)	HSPA5 GRP78	HSPA5	FALSE	NA	NA	ENSG00000044574	HSPA5	protein_coding	heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]	-0.0185712897	 0.3569789748	 0.6442537852	-0.5774665179	-2.805279e-01	 8.195916e-02	-1	6.220776e-02	0.1263614757	
BIRC2_HUMAN	Q13490	Baculoviral IAP repeat-containing protein 2 (EC 2.3.2.27) (Cellular inhibitor of apoptosis 1) (C-IAP1) (IAP homolog B) (Inhibitor of apoptosis protein 2) (hIAP-2) (hIAP2) (RING finger protein 48) (RING-type E3 ubiquitin transferase BIRC2) (TNFR2-TRAF-signaling complex protein 2)	BIRC2 API1 MIHB RNF48	BIRC2	FALSE	NA	NA	ENSG00000110330	BIRC2	protein_coding	baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:HGNC:590]	-0.9475160898	 0.1518780690	 0.9712008562	-0.5868278043	 4.290827e-01	 9.202041e-01	 0	8.481219e-01	0.3958755697	
BL1S2_HUMAN	Q6QNY1	Biogenesis of lysosome-related organelles complex 1 subunit 2 (BLOC-1 subunit 2) (Centrosome-associated protein)	BLOC1S2 BLOS2 CEAP	BLOC1S2	FALSE	NA	NA	ENSG00000196072	BLOC1S2	protein_coding	biogenesis of lysosomal organelles complex 1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:20984]	-0.7670073693	-0.2097080648	 0.5279408515	-0.6999543759	-1.257452e-01	 5.472046e-01	 0	5.881345e-01	0.7292405864	
BL1S4_HUMAN	Q9NUP1	Biogenesis of lysosome-related organelles complex 1 subunit 4 (BLOC-1 subunit 4) (Protein cappuccino homolog)	BLOC1S4 CNO	BLOC1S4	FALSE	NA	NA	ENSG00000186222	BLOC1S4	protein_coding	biogenesis of lysosomal organelles complex 1 subunit 4 [Source:HGNC Symbol;Acc:HGNC:24206]	-0.5354587945	-0.0068156385	 0.5256647931	-0.5397030914	-3.792551e-02	 4.837353e-01	 0	9.815513e-01	0.8932531717	
BL1S6_HUMAN	Q9UL45	Biogenesis of lysosome-related organelles complex 1 subunit 6 (BLOC-1 subunit 6) (Pallid protein homolog) (Pallidin) (Syntaxin 13-interacting protein)	BLOC1S6 PA PLDN	BLOC1S6	FALSE	NA	NA	ENSG00000104164	BLOC1S6	protein_coding	biogenesis of lysosomal organelles complex 1 subunit 6 [Source:HGNC Symbol;Acc:HGNC:8549]	-0.7479905869	 0.7580378370	 0.9945529455	-0.9156663167	-1.738325e-01	 8.367658e-01	 0	2.419622e-01	0.7797893726	
BLM_HUMAN	P54132	Bloom syndrome protein (EC 3.6.4.12) (DNA helicase, RecQ-like type 2) (RecQ2) (RecQ protein-like 3)	BLM RECQ2 RECQL3	BLM	FALSE	NA	NA	ENSG00000197299	BLM	protein_coding	BLM RecQ like helicase [Source:HGNC Symbol;Acc:HGNC:1058]	-0.9850962134	-0.4509878791	 0.9003423565	-0.6192698880	 3.865740e-01	 9.120113e-01	 0	5.490121e-01	0.4490237117	
BMP2K_HUMAN	Q9NSY1	BMP-2-inducible protein kinase (BIKe) (EC 2.7.11.1)	BMP2K BIKE HRIHFB2017	BMP2K	FALSE	NA	NA	ENSG00000138756	BMP2K	protein_coding	BMP2 inducible kinase [Source:HGNC Symbol;Acc:HGNC:18041]	-0.8995176728	-0.0835873914	 0.8622681632	-0.9769947641	-6.862864e-01	 4.967649e-01	 0	8.936973e-01	0.2007056681	
BMPER_HUMAN	Q8N8U9	BMP-binding endothelial regulator protein (Bone morphogenetic protein-binding endothelial cell precursor-derived regulator) (Protein crossveinless-2) (hCV2)	BMPER KIAA1965	BMPER	FALSE	NA	NA	ENSG00000164619	BMPER	protein_coding	BMP binding endothelial regulator [Source:HGNC Symbol;Acc:HGNC:24154]	-0.8293011095	 0.1973846968	 0.9195204198	-0.9764792773	-6.803103e-01	 5.051618e-01	 0	7.503236e-01	0.2062613194	
BMS1_HUMAN	Q14692	Ribosome biogenesis protein BMS1 homolog (Ribosome assembly protein BMS1 homolog)	BMS1 BMS1L KIAA0187	BMS1	FALSE	NA	NA	ENSG00000165733	BMS1	protein_coding	BMS1 ribosome biogenesis factor [Source:HGNC Symbol;Acc:HGNC:23505]	-0.8530523202	 0.1180937716	 0.9059673095	-0.9183557910	-1.901787e-01	 8.316246e-01	 0	8.499886e-01	0.7593245804	
BNIP3_HUMAN	Q12983	BCL2/adenovirus E1B 19 kDa protein-interacting protein 3	BNIP3 NIP3	BNIP3	TRUE	NA	NA	ENSG00000176171	BNIP3	protein_coding	BCL2 interacting protein 3 [Source:HGNC Symbol;Acc:HGNC:1084]	-0.9948956722	-0.7715575928	 0.7332860650	-0.9316042294	-2.770590e-01	 8.010049e-01	 0	2.284424e-01	0.6518040417	
BOLA1_HUMAN	Q9Y3E2	BolA-like protein 1 (hBolA)	BOLA1 CGI-143	BOLA1	TRUE	NA	NA	ENSG00000178096	BOLA1	protein_coding	bolA family member 1 [Source:HGNC Symbol;Acc:HGNC:24263]	-0.2923397354	 0.2021160864	 0.6113024660	-0.2703486500	 1.826551e-01	 5.694415e-01	 0	4.212255e-01	0.4280822263	
BORC5_HUMAN	Q969J3	BLOC-1-related complex subunit 5 (Loss of heterozygosity 12 chromosomal region 1) (Myristoylated lysosomal protein) (Myrlysin)	BORCS5 LOH12CR1	BORCS5	FALSE	NA	NA	ENSG00000165714	BORCS5	protein_coding	BLOC-1 related complex subunit 5 [Source:HGNC Symbol;Acc:HGNC:17950]	-0.3918621924	 0.0918031512	 0.5357125096	-0.1169482739	 3.314729e-01	 6.676273e-01	 0	7.171335e-01	0.1421423885	
BORC6_HUMAN	Q96GS4	BLOC-1-related complex subunit 6 (Lysosome-dispersing protein) (Lyspersin)	BORCS6 C17orf59	BORCS6	FALSE	NA	NA	ENSG00000196544	BORCS6	protein_coding	BLOC-1 related complex subunit 6 [Source:HGNC Symbol;Acc:HGNC:25939]	-0.8547078716	 0.1120631129	 0.9048658814	-0.9728670580	-6.395095e-01	 5.570601e-01	 0	8.576160e-01	0.2452845302	
BRAP_HUMAN	Q7Z569	BRCA1-associated protein (EC 2.3.2.27) (BRAP2) (Impedes mitogenic signal propagation) (IMP) (RING finger protein 52) (RING-type E3 ubiquitin transferase BRAP2) (Renal carcinoma antigen NY-REN-63)	BRAP RNF52	BRAP	FALSE	NA	NA	ENSG00000089234	BRAP	protein_coding	BRCA1 associated protein [Source:HGNC Symbol;Acc:HGNC:1099]	-0.7869432973	-0.2572859477	 0.4906774081	-0.7304044563	-2.323214e-01	 4.270720e-01	 0	5.039202e-01	0.4918142461	
BRAT1_HUMAN	Q6PJG6	BRCA1-associated ATM activator 1 (BRCA1-associated protein required for ATM activation protein 1)	BRAT1 BAAT1 C7orf27	BRAT1	FALSE	NA	NA	ENSG00000106009	BRAT1	protein_coding	BRCA1 associated ATM activator 1 [Source:HGNC Symbol;Acc:HGNC:21701]	-0.8537319852	 0.1156266012	 0.9055179957	-0.8100428458	 2.531262e-01	 9.281204e-01	 0	8.531083e-01	0.6811852744	
BRE1A_HUMAN	Q5VTR2	E3 ubiquitin-protein ligase BRE1A (BRE1-A) (hBRE1) (EC 2.3.2.27) (RING finger protein 20) (RING-type E3 ubiquitin transferase BRE1A)	RNF20 BRE1A	RNF20	FALSE	NA	NA	ENSG00000155827	RNF20	protein_coding	ring finger protein 20 [Source:HGNC Symbol;Acc:HGNC:10062]	-0.3122911192	 0.1653760151	 0.5762965972	-0.3691159224	 7.443085e-02	 4.903619e-01	 0	4.986588e-01	0.7484799081	
BRX1_HUMAN	Q8TDN6	Ribosome biogenesis protein BRX1 homolog (Brix domain-containing protein 2)	BRIX1 BRIX BXDC2	BRIX1	FALSE	NA	NA	ENSG00000113460	BRIX1	protein_coding	biogenesis of ribosomes BRX1 [Source:HGNC Symbol;Acc:HGNC:24170]	-0.7941738056	 0.7050792380	 0.9931593132	-0.9405273042	-3.422996e-01	 7.735908e-01	 0	2.949208e-01	0.5728377735	
BSDC1_HUMAN	Q9NW68	BSD domain-containing protein 1	BSDC1 UNQ2494/PRO5781	BSDC1	FALSE	NA	NA	ENSG00000160058	BSDC1	protein_coding	BSD domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25501]	-0.6321096361	 0.5655677825	 0.9658786590	-0.9726231528	-6.368206e-01	 5.601809e-01	-1	3.203789e-01	0.2479203681	
BST1_HUMAN	Q10588	ADP-ribosyl cyclase/cyclic ADP-ribose hydrolase 2 (EC 3.2.2.6) (ADP-ribosyl cyclase 2) (Bone marrow stromal antigen 1) (BST-1) (Cyclic ADP-ribose hydrolase 2) (cADPr hydrolase 2) (CD antigen CD157)	BST1	BST1	FALSE	NA	NA	ENSG00000109743	BST1	protein_coding	bone marrow stromal cell antigen 1 [Source:HGNC Symbol;Acc:HGNC:1118]	-0.7624907175	-0.2555498786	 0.4458072149	-0.8641319737	-5.143573e-01	 1.704792e-01	 0	4.760833e-01	0.1282427785	
BT2A1_HUMAN	Q7KYR7	Butyrophilin subfamily 2 member A1	BTN2A1 BT2.1 BTF1	BTN2A1	FALSE	NA	NA	ENSG00000112763	BTN2A1	protein_coding	butyrophilin subfamily 2 member A1 [Source:HGNC Symbol;Acc:HGNC:1136]	-0.9951244079	-0.9247990132	-0.2310538031	-0.6183719127	 5.807139e-01	 9.673592e-01	 1	2.447421e-02	0.3045763345	PAD_ns_CTR_neg
BTBD1_HUMAN	Q9H0C5	BTB/POZ domain-containing protein 1 (Hepatitis C virus NS5A-transactivated protein 8) (HCV NS5A-transactivated protein 8)	BTBD1 C15orf1 NS5ATP8	BTBD1	FALSE	NA	NA	ENSG00000064726	BTBD1	protein_coding	BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:1120]	-0.3391595760	 0.2334250201	 0.6798097269	-0.5412559192	-4.011579e-02	 4.820532e-01	 0	4.218853e-01	0.8871236255	
BTBD9_HUMAN	Q96Q07	BTB/POZ domain-containing protein 9	BTBD9 KIAA1880	BTBD9	FALSE	NA	NA	ENSG00000183826	BTBD9	protein_coding	BTB domain containing 9 [Source:HGNC Symbol;Acc:HGNC:21228]	-0.8195288355	 0.6665911608	 0.9920922234	-0.9040564143	-1.076680e-01	 8.559022e-01	 0	3.334088e-01	0.8631782290	
BTBDA_HUMAN	Q9BSF8	BTB/POZ domain-containing protein 10 (Glucose metabolism-related protein 1)	BTBD10 GMRP1	BTBD10	FALSE	NA	NA	ENSG00000148925	BTBD10	protein_coding	BTB domain containing 10 [Source:HGNC Symbol;Acc:HGNC:21445]	-0.7996988145	 0.2804105494	 0.9320826884	-0.9888735592	-8.358062e-01	 1.769264e-01	-1	6.477059e-01	0.0778704247	
BTK_HUMAN	Q06187	Tyrosine-protein kinase BTK (EC 2.7.10.2) (Agammaglobulinemia tyrosine kinase) (ATK) (B-cell progenitor kinase) (BPK) (Bruton tyrosine kinase)	BTK AGMX1 ATK BPK	BTK	FALSE	NA	NA	ENSG00000010671	BTK	protein_coding	Bruton tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1133]	-0.4762389632	 0.2747951192	 0.7940117450	-0.2805376908	 4.239774e-01	 8.316081e-01	 0	4.742328e-01	0.2220536361	
BUD23_HUMAN	O43709	Probable 18S rRNA (guanine-N(7))-methyltransferase (EC 2.1.1.-) (Bud site selection protein 23 homolog) (Metastasis-related methyltransferase 1) (Williams-Beuren syndrome chromosomal region 22 protein) (rRNA methyltransferase and ribosome maturation factor)	BUD23 MERM1 WBSCR22 HUSSY-03 PP3381	BUD23	FALSE	NA	NA	ENSG00000071462	WBSCR22	protein_coding	BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]	-0.6329106435	-0.0054602290	 0.6263192969	-0.8004311469	-3.443455e-01	 3.642544e-01	 0	9.880561e-01	0.3298856493	
C10_HUMAN	Q99622	Protein C10	C12orf57 C10	C12orf57	FALSE	NA	NA	ENSG00000111678	C12orf57	protein_coding	chromosome 12 open reading frame 57 [Source:HGNC Symbol;Acc:HGNC:29521]	-0.9427367120	 0.1953249188	 0.9736367639	-0.9696553577	-6.047441e-01	 5.949611e-01	 0	8.046751e-01	0.2799354504	
C163A_HUMAN	Q86VB7	Scavenger receptor cysteine-rich type 1 protein M130 (Hemoglobin scavenger receptor) (CD antigen CD163) [Cleaved into: Soluble CD163 (sCD163)]	CD163 M130	CD163	FALSE	NA	NA	ENSG00000177575	CD163	protein_coding	CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]	-0.4807724546	-0.0855178088	 0.3386209690	-0.3032551306	 9.529021e-02	 4.654616e-01	 0	6.980385e-01	0.6433311533	
C19L1_HUMAN	Q69YN2	CWF19-like protein 1 (C19L1)	CWF19L1	CWF19L1	FALSE	NA	NA	ENSG00000095485	CWF19L1	protein_coding	CWF19 like cell cycle control factor 1 [Source:HGNC Symbol;Acc:HGNC:25613]	 0.0068796338	 0.5355044419	 0.8302008910	-0.8052596900	-4.987220e-01	 1.818733e-02	-1	4.843729e-02	0.0584435466	CTR_pos_PAD_ns
C1QR1_HUMAN	Q9NPY3	Complement component C1q receptor (C1q/MBL/SPA receptor) (C1qR) (C1qR(p)) (C1qRp) (CDw93) (Complement component 1 q subcomponent receptor 1) (Matrix-remodeling-associated protein 4) (CD antigen CD93)	CD93 C1QR1 MXRA4	CD93	FALSE	NA	NA	ENSG00000125810	CD93	protein_coding	CD93 molecule [Source:HGNC Symbol;Acc:HGNC:15855]	-0.4398942550	 0.0339477949	 0.4930041426	-0.5682737744	-1.809857e-01	 2.719481e-01	 0	8.936192e-01	0.4323879320	
C1TM_HUMAN	Q6UB35	Monofunctional C1-tetrahydrofolate synthase, mitochondrial (EC 6.3.4.3) (Formyltetrahydrofolate synthetase)	MTHFD1L FTHFSDC1	MTHFD1L	TRUE	NA	NA	ENSG00000120254	MTHFD1L	protein_coding	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1 like [Source:HGNC Symbol;Acc:HGNC:21055]	-0.6890875527	-0.0460317000	 0.6375812830	-0.3482574634	 3.180648e-01	 7.708603e-01	 0	9.063904e-01	0.3404852143	
C2C2L_HUMAN	O14523	Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like) (C2CD2-like) (Transmembrane protein 24)	C2CD2L KIAA0285 TMEM24 DLNB23	C2CD2L	FALSE	NA	NA	ENSG00000172375	C2CD2L	protein_coding	C2CD2 like [Source:HGNC Symbol;Acc:HGNC:29000]	-0.9721501574	-0.1684414791	 0.9457501996	-0.7627229068	 1.281835e-01	 8.511959e-01	 0	8.315585e-01	0.8087778661	
C2CD2_HUMAN	Q9Y426	C2 domain-containing protein 2 (Transmembrane protein 24-like)	C2CD2 C21orf25 C21orf258 TMEM24L	C2CD2	FALSE	NA	NA	ENSG00000157617	C2CD2	protein_coding	C2 calcium dependent domain containing 2 [Source:HGNC Symbol;Acc:HGNC:1266]	-0.3667022178	 0.1049949866	 0.5337499014	-0.5798607987	-1.847459e-01	 2.807253e-01	 0	6.688127e-01	0.4355334412	
C2CD5_HUMAN	Q86YS7	C2 domain-containing protein 5 (C2 domain-containing phosphoprotein of 138 kDa)	C2CD5 CDP138 KIAA0528	C2CD5	FALSE	NA	NA	ENSG00000111731	C2CD5	protein_coding	C2 calcium dependent domain containing 5 [Source:HGNC Symbol;Acc:HGNC:29062]	-0.7333562574	-0.3319332389	 0.2411097899	-0.0555232376	 4.701107e-01	 7.917130e-01	 1	2.462789e-01	0.0770079366	
C2D2B_HUMAN	Q6DHV5	Protein CC2D2B	CC2D2B C10orf130 C10orf131	CC2D2B	FALSE	NA	NA	ENSG00000188649	CC2D2B	protein_coding	coiled-coil and C2 domain containing 2B [Source:HGNC Symbol;Acc:HGNC:31666]	-0.9801327792	-0.7235330680	 0.4389130091	-0.8460450132	 1.428498e-01	 9.103796e-01	 0	1.670757e-01	0.8187384539	
CA2D2_HUMAN	Q9NY47	Voltage-dependent calcium channel subunit alpha-2/delta-2 (Voltage-gated calcium channel subunit alpha-2/delta-2) [Cleaved into: Voltage-dependent calcium channel subunit alpha-2-2; Voltage-dependent calcium channel subunit delta-2]	CACNA2D2 KIAA0558	CACNA2D2	FALSE	NA	NA	ENSG00000007402	CACNA2D2	protein_coding	calcium voltage-gated channel auxiliary subunit alpha2delta 2 [Source:HGNC Symbol;Acc:HGNC:1400]	-0.9961363855	-0.8222481304	 0.6619323652	-0.7961467039	 2.893939e-01	 9.333540e-01	 0	1.777519e-01	0.6367419667	
CACL1_HUMAN	Q86Y37	CDK2-associated and cullin domain-containing protein 1 (Cdk-associated cullin 1)	CACUL1 C10orf46 CAC1	CACUL1	FALSE	NA	NA	ENSG00000151893	CACUL1	protein_coding	CDK2 associated cullin domain 1 [Source:HGNC Symbol;Acc:HGNC:23727]	-0.2242064983	 0.8203291208	 0.9877283196	-0.8267080340	 2.052979e-01	 9.207849e-01	 0	8.891708e-02	0.7404545259	
CAD11_HUMAN	P55287	Cadherin-11 (OSF-4) (Osteoblast cadherin) (OB-cadherin)	CDH11	CDH11	FALSE	NA	NA	ENSG00000140937	CDH11	protein_coding	cadherin 11 [Source:HGNC Symbol;Acc:HGNC:1750]	-0.7142827788	-0.1538456877	 0.5268102400	-0.7497940785	-2.276293e-01	 4.692506e-01	 0	6.713154e-01	0.5270694057	
CADH6_HUMAN	P55285	Cadherin-6 (Kidney cadherin) (K-cadherin)	CDH6	CDH6	FALSE	NA	NA	ENSG00000113361	CDH6	protein_coding	cadherin 6 [Source:HGNC Symbol;Acc:HGNC:1765]	-0.4398345508	 0.3168361646	 0.8104291700	-0.3738944097	 3.344710e-01	 7.963851e-01	 0	4.061319e-01	0.3448479613	
CAH2_HUMAN	P00918	Carbonic anhydrase 2 (EC 4.2.1.1) (Carbonate dehydratase II) (Carbonic anhydrase C) (CAC) (Carbonic anhydrase II) (CA-II)	CA2	CA2	FALSE	NA	NA	ENSG00000104267	CA2	protein_coding	carbonic anhydrase 2 [Source:HGNC Symbol;Acc:HGNC:1373]	-0.4482020341	-0.0902093586	 0.2927190382	-0.2446871243	 1.200627e-01	 4.550439e-01	 0	6.480214e-01	0.5200009444	
CAH8_HUMAN	P35219	Carbonic anhydrase-related protein (CARP) (Carbonic anhydrase VIII) (CA-VIII)	CA8 CALS	CA8	FALSE	NA	NA	ENSG00000178538	CA8	protein_coding	carbonic anhydrase 8 [Source:HGNC Symbol;Acc:HGNC:1382]	-0.7728884890	 0.3438406916	 0.9407285522	-0.9491116667	-4.110249e-01	 7.393572e-01	 0	5.709947e-01	0.4918003015	
CAHM2_HUMAN	Q9HA72	Calcium homeostasis modulator protein 2 (Protein FAM26B)	CALHM2 FAM26B	CALHM2	FALSE	NA	NA	ENSG00000138172	CALHM2	protein_coding	calcium homeostasis modulator family member 2 [Source:HGNC Symbol;Acc:HGNC:23493]	-0.9346825650	-0.2989042772	 0.7923028840	-0.9571196338	-4.811685e-01	 6.969784e-01	 0	6.251688e-01	0.4118951110	
CAHM5_HUMAN	Q8N5C1	Calcium homeostasis modulator protein 5 (Protein FAM26E)	CALHM5 C6orf188 FAM26E	CALHM5	FALSE	NA	NA	ENSG00000178033	FAM26E	protein_coding	calcium homeostasis modulator family member 5 [Source:HGNC Symbol;Acc:HGNC:21568]	-0.8219905831	 0.2193561345	 0.9229948556	-0.8444408399	 1.483483e-01	 9.113365e-01	 0	7.229633e-01	0.8118121635	
CALB2_HUMAN	P22676	Calretinin (CR) (29 kDa calbindin)	CALB2 CAB29	CALB2	FALSE	NA	NA	ENSG00000172137	CALB2	protein_coding	calbindin 2 [Source:HGNC Symbol;Acc:HGNC:1435]	-0.3392348327	 0.7749794608	 0.9842656834	-0.3097350214	 7.878173e-01	 9.852625e-01	 0	1.237189e-01	0.1135191752	
CALM1_HUMAN	P0DP23	Calmodulin-1	CALM1 CALM CAM CAM1	CALM1	FALSE	NA	NA	ENSG00000198668	CALM1	protein_coding	calmodulin 1 [Source:HGNC Symbol;Acc:HGNC:1442]	-0.6849468062	-0.2660248438	 0.2850883074	-0.4123929665	 1.266185e-01	 5.999663e-01	 0	3.378870e-01	0.6529518984	
CALM2_HUMAN	P0DP24	Calmodulin-2	CALM2 CAM2 CAMB	CALM2	FALSE	NA	NA	ENSG00000143933	CALM2	protein_coding	calmodulin 2 [Source:HGNC Symbol;Acc:HGNC:1445]	-0.8408926175	-0.4003463433	 0.3593076017	-0.6613955923	-1.019827e-01	 5.303367e-01	 0	2.856490e-01	0.7654215830	
CALM3_HUMAN	P0DP25	Calmodulin-3	CALM3 CALML2 CAM3 CAMC CAMIII	CALM3	FALSE	NA	NA	ENSG00000160014	CALM3	protein_coding	calmodulin 3 [Source:HGNC Symbol;Acc:HGNC:1449]	-0.8688084697	 0.5592663454	 0.9888454039	-0.9234863603	-2.225230e-01	 8.209078e-01	 0	4.407337e-01	0.7190308164	
CAN8_HUMAN	A6NHC0	Calpain-8 (EC 3.4.22.53) (New calpain 2) (nCL-2) (Stomach-specific M-type calpain)	CAPN8 NCL2	CAPN8	FALSE	NA	NA	ENSG00000203697	CAPN8	protein_coding	calpain 8 [Source:HGNC Symbol;Acc:HGNC:1485]	-0.9222144542	-0.2143581352	 0.8236842720	-0.8987064672	-7.938158e-02	 8.633502e-01	 0	7.291755e-01	0.8990344800	
CAPS1_HUMAN	Q9ULU8	Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1)	CADPS CAPS CAPS1 KIAA1121	CADPS	FALSE	NA	NA	ENSG00000163618	CADPS	protein_coding	calcium dependent secretion activator [Source:HGNC Symbol;Acc:HGNC:1426]	-0.9969789839	-0.8583216402	 0.5869689456	-0.7453300293	 1.676235e-01	 8.619306e-01	 0	1.416784e-01	0.7509195955	
CARL1_HUMAN	Q5VZK9	F-actin-uncapping protein LRRC16A (CARMIL homolog) (Capping protein regulator and myosin 1 linker protein 1) (Capping protein, Arp2/3 and myosin-I linker homolog 1) (Capping protein, Arp2/3 and myosin-I linker protein 1) (Leucine-rich repeat-containing protein 16A)	CARMIL1 CARMIL LRRC16 LRRC16A	CARMIL1	FALSE	NA	NA	ENSG00000079691	LRRC16A	protein_coding	capping protein regulator and myosin 1 linker 1 [Source:HGNC Symbol;Acc:HGNC:21581]	-0.6117531009	 0.1633283816	 0.7784115233	-0.3572751147	 3.087771e-01	 7.666478e-01	 0	6.991619e-01	0.3555426687	
CASC3_HUMAN	O15234	Protein CASC3 (Cancer susceptibility candidate gene 3 protein) (Metastatic lymph node gene 51 protein) (MLN 51) (Protein barentsz) (Btz)	CASC3 MLN51	CASC3	FALSE	NA	NA	ENSG00000108349	CASC3	protein_coding	CASC3 exon junction complex subunit [Source:HGNC Symbol;Acc:HGNC:17040]	-0.9969772436	-0.8582456977	 0.5871579321	-0.9924888448	-8.863143e-01	-1.856549e-02	 0	1.417543e-01	0.0452214314	
CASP_HUMAN	Q13948	Protein CASP	CUX1 CUTL1	CUX1	FALSE	NA	NA	ENSG00000257923	CUX1	protein_coding	cut like homeobox 1 [Source:HGNC Symbol;Acc:HGNC:2557]	-0.4134232259	 0.1253961942	 0.5991708149	-0.6278887649	-1.704502e-01	 3.745134e-01	 0	6.561106e-01	0.5436176080	
CASP1_HUMAN	P29466	Caspase-1 (CASP-1) (EC 3.4.22.36) (Interleukin-1 beta convertase) (IL-1BC) (Interleukin-1 beta-converting enzyme) (ICE) (IL-1 beta-converting enzyme) (p45) [Cleaved into: Caspase-1 subunit p20; Caspase-1 subunit p10]	CASP1 IL1BC IL1BCE	CASP1	FALSE	NA	NA	ENSG00000137752	CASP1	protein_coding	caspase 1 [Source:HGNC Symbol;Acc:HGNC:1499]	-0.9804528315	-0.7274177898	 0.4322679740	-0.5875491183	 6.119226e-01	 9.703290e-01	 1	1.636716e-01	0.2726812988	
CASP4_HUMAN	P49662	Caspase-4 (CASP-4) (EC 3.4.22.57) (ICE and Ced-3 homolog 2) (ICH-2) (ICE(rel)-II) (Mih1) (Protease TX) [Cleaved into: Caspase-4 subunit p10; Caspase-4 subunit p20]	CASP4 ICH2	CASP4	TRUE	NA	NA	ENSG00000196954	CASP4	protein_coding	caspase 4 [Source:HGNC Symbol;Acc:HGNC:1505]	-0.5915105053	 0.6081104194	 0.9699719503	-0.8990317825	-8.106473e-02	 8.629182e-01	 0	2.765274e-01	0.8968983387	
CAST2_HUMAN	A6NHX0	Cytosolic arginine sensor for mTORC1 subunit 2 (Cellular arginine sensor for mTORC1 protein 2) (GATS-like protein 2)	CASTOR2 GATSL1 GATSL2	CASTOR2	FALSE	NA	NA	ENSG00000274070	GATSL2	protein_coding	cytosolic arginine sensor for mTORC1 subunit 2 [Source:HGNC Symbol;Acc:HGNC:37073]	-0.6280767203	-0.3330374343	 0.0457201593	-0.2149379909	 1.508944e-01	 4.795918e-01	 1	8.331785e-02	0.4177823754	
CATD_HUMAN	P07339	Cathepsin D (EC 3.4.23.5) [Cleaved into: Cathepsin D light chain; Cathepsin D heavy chain]	CTSD CPSD	CTSD	FALSE	NA	NA	ENSG00000117984	CTSD	protein_coding	cathepsin D [Source:HGNC Symbol;Acc:HGNC:2529]	 0.1415046907	 0.4887779857	 0.7289327270	-0.5954045391	-3.055222e-01	 5.474451e-02	-1	8.308107e-03	0.0946413952	CTR_pos_PAD_ns
CATF_HUMAN	Q9UBX1	Cathepsin F (CATSF) (EC 3.4.22.41)	CTSF	CTSF	FALSE	NA	NA	ENSG00000174080	CTSF	protein_coding	cathepsin F [Source:HGNC Symbol;Acc:HGNC:2531]	-0.4400979114	 0.0336955348	 0.4928129526	-0.7538008175	-4.774931e-01	-5.769981e-02	-1	8.944055e-01	0.0285958909	CTR_ns_PAD_neg
CATG_HUMAN	P08311	Cathepsin G (CG) (EC 3.4.21.20)	CTSG	CTSG	FALSE	NA	NA	ENSG00000100448	CTSG	protein_coding	cathepsin G [Source:HGNC Symbol;Acc:HGNC:2532]	-0.1913132444	 0.1957341204	 0.5301010138	-0.3920741482	-4.382213e-02	 3.154157e-01	 0	3.181799e-01	0.8149252594	
