ENSG	ENSG.ver	name	type	description	logFC	P.Value	-log10(P.Val)	adj.P.Val
ENSG00000076555	ENSG00000076555.15	ACACB	protein_coding	acetyl-CoA carboxylase beta [Source:HGNC Symbol;Acc:HGNC:85]	-0.132	0.133	0.876	0.435
ENSG00000274105	ENSG00000274105.1	RP11-278C7.3	lncRNA	novel transcript, sense intronic to YARS2	-0.12	0.133	0.876	0.435
ENSG00000136111	ENSG00000136111.12	TBC1D4	protein_coding	TBC1 domain family member 4 [Source:HGNC Symbol;Acc:HGNC:19165]	-0.0789	0.133	0.876	0.435
ENSG00000163739	ENSG00000163739.4	CXCL1	protein_coding	C-X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:4602]	0.399	0.133	0.876	0.435
ENSG00000205302	ENSG00000205302.6	SNX2	protein_coding	sorting nexin 2 [Source:HGNC Symbol;Acc:HGNC:11173]	-0.0559	0.133	0.876	0.435
ENSG00000066827	ENSG00000066827.15	ZFAT	protein_coding	zinc finger and AT-hook domain containing [Source:HGNC Symbol;Acc:HGNC:19899]	0.0982	0.133	0.876	0.435
ENSG00000013588	ENSG00000013588.7	GPRC5A	protein_coding	G protein-coupled receptor class C group 5 member A [Source:HGNC Symbol;Acc:HGNC:9836]	0.347	0.133	0.876	0.435
ENSG00000184544	ENSG00000184544.11	DHRS7C	protein_coding	dehydrogenase/reductase 7C [Source:HGNC Symbol;Acc:HGNC:32423]	-0.187	0.133	0.876	0.435
ENSG00000259915	ENSG00000259915.2	RP11-410E4.1	lncRNA	novel transcript	-0.113	0.133	0.876	0.435
ENSG00000272841	ENSG00000272841.1	RP3-428L16.2	lncRNA	MAP3K4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55048]	0.174	0.133	0.875	0.435
ENSG00000280121	ENSG00000280121.1	CTD-3137H5.4	TEC	TEC	0.27	0.133	0.875	0.435
ENSG00000213553	ENSG00000213553.4	AC011247.2	processed_pseudogene	ribosomal protein lateral stalk subunit P0 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:36404]	0.152	0.133	0.875	0.435
ENSG00000240729	ENSG00000240729.1	CTD-2301A4.3	processed_pseudogene	ribosomal protein L21 (RPL21) pseudogene	-0.15	0.133	0.875	0.435
ENSG00000279098	ENSG00000279098.1	RP11-15B17.4	TEC	TEC	-0.229	0.133	0.875	0.435
ENSG00000095066	ENSG00000095066.11	HOOK2	protein_coding	hook microtubule tethering protein 2 [Source:HGNC Symbol;Acc:HGNC:19885]	0.136	0.133	0.875	0.435
ENSG00000198019	ENSG00000198019.12	FCGR1B	protein_coding	Fc fragment of IgG receptor Ib [Source:HGNC Symbol;Acc:HGNC:3614]	0.304	0.133	0.875	0.435
ENSG00000107798	ENSG00000107798.17	LIPA	protein_coding	lipase A, lysosomal acid type [Source:HGNC Symbol;Acc:HGNC:6617]	-0.11	0.133	0.875	0.435
ENSG00000166432	ENSG00000166432.14	ZMAT1	protein_coding	zinc finger matrin-type 1 [Source:HGNC Symbol;Acc:HGNC:29377]	-0.141	0.134	0.874	0.436
ENSG00000231875	ENSG00000231875.1	RP11-346E8.1	processed_pseudogene	novel pseudogene	-0.2	0.134	0.874	0.436
ENSG00000111817	ENSG00000111817.17	DSE	protein_coding	dermatan sulfate epimerase [Source:HGNC Symbol;Acc:HGNC:21144]	-0.094	0.134	0.874	0.436
ENSG00000170473	ENSG00000170473.16	PYM1	protein_coding	PYM homolog 1, exon junction complex associated factor [Source:HGNC Symbol;Acc:HGNC:30258]	0.0775	0.134	0.874	0.436
ENSG00000274925	ENSG00000274925.1	CTD-2547G23.4	lncRNA	ZKSCAN2 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53912]	-0.0983	0.134	0.874	0.436
ENSG00000166197	ENSG00000166197.16	NOLC1	protein_coding	nucleolar and coiled-body phosphoprotein 1 [Source:HGNC Symbol;Acc:HGNC:15608]	0.055	0.134	0.874	0.436
ENSG00000029364	ENSG00000029364.11	SLC39A9	protein_coding	solute carrier family 39 member 9 [Source:HGNC Symbol;Acc:HGNC:20182]	-0.0443	0.134	0.874	0.436
ENSG00000204706	ENSG00000204706.14	RP11-195E11.2	lncRNA	MAMDC2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:48719]	-0.138	0.134	0.874	0.436
ENSG00000135624	ENSG00000135624.15	CCT7	protein_coding	chaperonin containing TCP1 subunit 7 [Source:HGNC Symbol;Acc:HGNC:1622]	0.0472	0.134	0.874	0.436
ENSG00000100170	ENSG00000100170.9	SLC5A1	protein_coding	solute carrier family 5 member 1 [Source:HGNC Symbol;Acc:HGNC:11036]	0.812	0.134	0.873	0.436
ENSG00000271533	ENSG00000271533.1	RP3-368A4.6	lncRNA	novel transcript, sense intronic FTX	-0.0962	0.134	0.873	0.436
ENSG00000117407	ENSG00000117407.16	ARTN	protein_coding	artemin [Source:HGNC Symbol;Acc:HGNC:727]	0.316	0.134	0.873	0.436
ENSG00000280119	ENSG00000280119.1	AC093642.1	TEC	TEC	-0.284	0.134	0.873	0.436
ENSG00000249210	ENSG00000249210.1	GAPDHP38	processed_pseudogene	glyceraldehyde 3 phosphate dehydrogenase pseudogene 38 [Source:HGNC Symbol;Acc:HGNC:37792]	0.218	0.134	0.873	0.436
ENSG00000163694	ENSG00000163694.14	RBM47	protein_coding	RNA binding motif protein 47 [Source:HGNC Symbol;Acc:HGNC:30358]	0.188	0.134	0.873	0.436
ENSG00000136143	ENSG00000136143.15	SUCLA2	protein_coding	succinate-CoA ligase ADP-forming subunit beta [Source:HGNC Symbol;Acc:HGNC:11448]	-0.107	0.134	0.873	0.436
ENSG00000185924	ENSG00000185924.6	RTN4RL1	protein_coding	reticulon 4 receptor like 1 [Source:HGNC Symbol;Acc:HGNC:21329]	0.252	0.134	0.873	0.436
ENSG00000273897	ENSG00000273897.1	CH17-264B6.4	unprocessed_pseudogene	PMS1 homolog 2, mismatch repair system component pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:33516]	0.648	0.134	0.873	0.436
ENSG00000103742	ENSG00000103742.11	IGDCC4	protein_coding	immunoglobulin superfamily DCC subclass member 4 [Source:HGNC Symbol;Acc:HGNC:13770]	-0.128	0.134	0.873	0.436
ENSG00000185052	ENSG00000185052.11	SLC24A3	protein_coding	solute carrier family 24 member 3 [Source:HGNC Symbol;Acc:HGNC:10977]	-0.189	0.134	0.873	0.436
ENSG00000232479	ENSG00000232479.2	AC010900.2	processed_pseudogene	keratin 8 pseudogene 52 [Source:HGNC Symbol;Acc:HGNC:54654]	-0.152	0.134	0.873	0.436
ENSG00000178761	ENSG00000178761.14	FAM219B	protein_coding	family with sequence similarity 219 member B [Source:HGNC Symbol;Acc:HGNC:24695]	0.0495	0.134	0.873	0.436
ENSG00000100191	ENSG00000100191.5	SLC5A4	protein_coding	solute carrier family 5 member 4 [Source:HGNC Symbol;Acc:HGNC:11039]	0.635	0.134	0.873	0.436
ENSG00000112078	ENSG00000112078.13	KCTD20	protein_coding	potassium channel tetramerization domain containing 20 [Source:HGNC Symbol;Acc:HGNC:21052]	0.0515	0.134	0.873	0.436
ENSG00000176945	ENSG00000176945.16	MUC20	protein_coding	mucin 20, cell surface associated [Source:HGNC Symbol;Acc:HGNC:23282]	0.247	0.134	0.872	0.436
ENSG00000232807	ENSG00000232807.2	RP11-536K7.3	lncRNA	novel transcript, antisense to FBXO18	0.222	0.134	0.872	0.436
ENSG00000004779	ENSG00000004779.9	NDUFAB1	protein_coding	NADH:ubiquinone oxidoreductase subunit AB1 [Source:HGNC Symbol;Acc:HGNC:7694]	-0.126	0.134	0.872	0.436
ENSG00000246985	ENSG00000246985.7	RP11-887P2.1	lncRNA	SOCS2 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:27054]	-0.263	0.134	0.872	0.436
ENSG00000203721	ENSG00000203721.6	SMIM16	lncRNA	long intergenic non-protein coding RNA 862 [Source:HGNC Symbol;Acc:HGNC:21901]	0.282	0.134	0.872	0.436
ENSG00000272736	ENSG00000272736.5	RP11-799N11.1	lncRNA	novel transcript	-0.323	0.134	0.872	0.436
ENSG00000198909	ENSG00000198909.7	MAP3K3	protein_coding	mitogen-activated protein kinase kinase kinase 3 [Source:HGNC Symbol;Acc:HGNC:6855]	0.0497	0.134	0.872	0.436
ENSG00000110013	ENSG00000110013.12	SIAE	protein_coding	sialic acid acetylesterase [Source:HGNC Symbol;Acc:HGNC:18187]	-0.113	0.134	0.872	0.436
ENSG00000169085	ENSG00000169085.11	C8orf46	protein_coding	vexin [Source:HGNC Symbol;Acc:HGNC:28498]	-0.172	0.134	0.871	0.436
ENSG00000216813	ENSG00000216813.1	RP11-812I20.2	processed_pseudogene	40S ribosomal protein S12 (RPS12) pseudogene	-0.226	0.134	0.871	0.436
ENSG00000184857	ENSG00000184857.7	TMEM186	protein_coding	transmembrane protein 186 [Source:HGNC Symbol;Acc:HGNC:24530]	-0.0942	0.134	0.871	0.436
ENSG00000152620	ENSG00000152620.12	NADK2	protein_coding	NAD kinase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:26404]	-0.071	0.134	0.871	0.436
ENSG00000125804	ENSG00000125804.13	FAM182A	lncRNA	family with sequence similarity 182 member A [Source:HGNC Symbol;Acc:HGNC:16222]	0.284	0.134	0.871	0.436
ENSG00000124207	ENSG00000124207.16	CSE1L	protein_coding	chromosome segregation 1 like [Source:HGNC Symbol;Acc:HGNC:2431]	-0.0625	0.134	0.871	0.436
ENSG00000170166	ENSG00000170166.5	HOXD4	protein_coding	homeobox D4 [Source:HGNC Symbol;Acc:HGNC:5138]	-0.146	0.135	0.871	0.436
ENSG00000279168	ENSG00000279168.2	RP11-514P8.10	lncRNA	novel transcript, sense overlapping POLR2J2, UPK3BL and RASA4	0.225	0.135	0.871	0.436
ENSG00000166716	ENSG00000166716.9	ZNF592	protein_coding	zinc finger protein 592 [Source:HGNC Symbol;Acc:HGNC:28986]	0.0635	0.135	0.871	0.437
ENSG00000255650	ENSG00000255650.5	MGC14436	lncRNA	FAM222A antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:28223]	-0.243	0.135	0.871	0.437
ENSG00000164484	ENSG00000164484.11	TMEM200A	protein_coding	transmembrane protein 200A [Source:HGNC Symbol;Acc:HGNC:21075]	-0.27	0.135	0.87	0.437
ENSG00000270344	ENSG00000270344.2	RP11-734K2.4	lncRNA	POC1B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:52949]	-0.101	0.135	0.87	0.437
ENSG00000115841	ENSG00000115841.19	RMDN2	protein_coding	regulator of microtubule dynamics 2 [Source:HGNC Symbol;Acc:HGNC:26567]	-0.179	0.135	0.87	0.437
ENSG00000196951	ENSG00000196951.10	RP11-425I13.3	lncRNA	SCOC antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:50601]	-0.173	0.135	0.87	0.437
ENSG00000281005	ENSG00000281005.1	LINC00921	lncRNA	long intergenic non-protein coding RNA 921 [Source:HGNC Symbol;Acc:HGNC:26830]	-0.137	0.135	0.87	0.437
ENSG00000106565	ENSG00000106565.17	TMEM176B	protein_coding	transmembrane protein 176B [Source:HGNC Symbol;Acc:HGNC:29596]	-0.21	0.135	0.87	0.437
ENSG00000189190	ENSG00000189190.9	ZNF600	protein_coding	zinc finger protein 600 [Source:HGNC Symbol;Acc:HGNC:30951]	-0.122	0.135	0.869	0.437
ENSG00000173120	ENSG00000173120.14	KDM2A	protein_coding	lysine demethylase 2A [Source:HGNC Symbol;Acc:HGNC:13606]	-0.0526	0.135	0.869	0.437
ENSG00000135482	ENSG00000135482.6	ZC3H10	protein_coding	zinc finger CCCH-type containing 10 [Source:HGNC Symbol;Acc:HGNC:25893]	0.0689	0.135	0.869	0.437
ENSG00000187630	ENSG00000187630.16	DHRS4L2	protein_coding	dehydrogenase/reductase 4 like 2 [Source:HGNC Symbol;Acc:HGNC:19731]	-0.265	0.135	0.869	0.437
ENSG00000068383	ENSG00000068383.18	INPP5A	protein_coding	inositol polyphosphate-5-phosphatase A [Source:HGNC Symbol;Acc:HGNC:6076]	0.0715	0.135	0.869	0.437
ENSG00000102312	ENSG00000102312.21	PORCN	protein_coding	porcupine O-acyltransferase [Source:HGNC Symbol;Acc:HGNC:17652]	0.0802	0.135	0.869	0.437
ENSG00000165511	ENSG00000165511.6	C10orf25	lncRNA	ZNF22 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:23509]	-0.163	0.135	0.869	0.437
ENSG00000107581	ENSG00000107581.12	EIF3A	protein_coding	eukaryotic translation initiation factor 3 subunit A [Source:HGNC Symbol;Acc:HGNC:3271]	0.0515	0.135	0.869	0.437
ENSG00000180287	ENSG00000180287.16	PLD5	protein_coding	phospholipase D family member 5 [Source:HGNC Symbol;Acc:HGNC:26879]	-0.241	0.135	0.869	0.437
ENSG00000004897	ENSG00000004897.11	CDC27	protein_coding	cell division cycle 27 [Source:HGNC Symbol;Acc:HGNC:1728]	0.0407	0.135	0.869	0.437
ENSG00000247950	ENSG00000247950.6	RP11-264J9.1	lncRNA	SEC24B antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:44003]	-0.149	0.135	0.869	0.437
ENSG00000270604	ENSG00000270604.5	HCG17	lncRNA	HLA complex group 17 [Source:HGNC Symbol;Acc:HGNC:31339]	0.242	0.135	0.869	0.437
ENSG00000123975	ENSG00000123975.4	CKS2	protein_coding	CDC28 protein kinase regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:2000]	0.202	0.135	0.869	0.437
ENSG00000164144	ENSG00000164144.15	ARFIP1	protein_coding	ADP ribosylation factor interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:21496]	-0.0635	0.135	0.868	0.438
ENSG00000142409	ENSG00000142409.5	ZNF787	protein_coding	zinc finger protein 787 [Source:HGNC Symbol;Acc:HGNC:26998]	0.0986	0.135	0.868	0.438
ENSG00000131171	ENSG00000131171.12	SH3BGRL	protein_coding	SH3 domain binding glutamate rich protein like [Source:HGNC Symbol;Acc:HGNC:10823]	-0.154	0.135	0.868	0.438
ENSG00000165152	ENSG00000165152.8	TMEM246	protein_coding	post-GPI attachment to proteins GalNAc transferase 4 [Source:HGNC Symbol;Acc:HGNC:28180]	0.128	0.136	0.868	0.438
ENSG00000122035	ENSG00000122035.6	RASL11A	protein_coding	RAS like family 11 member A [Source:HGNC Symbol;Acc:HGNC:23802]	-0.177	0.136	0.868	0.438
ENSG00000214960	ENSG00000214960.9	ISPD	protein_coding	CDP-L-ribitol pyrophosphorylase A [Source:HGNC Symbol;Acc:HGNC:37276]	0.104	0.136	0.868	0.438
ENSG00000273265	ENSG00000273265.1	RP11-353K11.1	lncRNA	CNNM3 divergent transcript [Source:HGNC Symbol;Acc:HGNC:53592]	0.24	0.136	0.867	0.438
ENSG00000170476	ENSG00000170476.15	MZB1	protein_coding	marginal zone B and B1 cell specific protein [Source:HGNC Symbol;Acc:HGNC:30125]	0.182	0.136	0.867	0.438
ENSG00000198075	ENSG00000198075.9	SULT1C4	protein_coding	sulfotransferase family 1C member 4 [Source:HGNC Symbol;Acc:HGNC:11457]	-0.178	0.136	0.867	0.439
ENSG00000105341	ENSG00000105341.18	ATP5SL	protein_coding	distal membrane arm assembly complex 2 [Source:HGNC Symbol;Acc:HGNC:25496]	-0.112	0.136	0.867	0.439
ENSG00000113391	ENSG00000113391.18	FAM172A	protein_coding	family with sequence similarity 172 member A [Source:HGNC Symbol;Acc:HGNC:25365]	-0.0625	0.136	0.867	0.439
ENSG00000089048	ENSG00000089048.14	ESF1	protein_coding	ESF1 nucleolar pre-rRNA processing protein homolog [Source:HGNC Symbol;Acc:HGNC:15898]	-0.0572	0.136	0.867	0.439
ENSG00000163900	ENSG00000163900.10	TMEM41A	protein_coding	transmembrane protein 41A [Source:HGNC Symbol;Acc:HGNC:30544]	-0.0519	0.136	0.867	0.439
ENSG00000229119	ENSG00000229119.3	CTB-63M22.1	processed_pseudogene	60S acidic ribosomal protein (RPLP0) pseudogene	0.171	0.136	0.866	0.439
ENSG00000227946	ENSG00000227946.1	AC007383.3	lncRNA	novel transcript	0.096	0.136	0.866	0.439
ENSG00000007545	ENSG00000007545.15	CRAMP1	protein_coding	cramped chromatin regulator homolog 1 [Source:HGNC Symbol;Acc:HGNC:14122]	-0.0607	0.136	0.866	0.439
ENSG00000208772	ENSG00000208772.1	SNORD94	snoRNA	small nucleolar RNA, C/D box 94 [Source:HGNC Symbol;Acc:HGNC:32756]	-0.163	0.136	0.866	0.439
ENSG00000231305	ENSG00000231305.3	RP11-723O4.2	lncRNA	novel transcript	-0.359	0.136	0.866	0.439
ENSG00000284461	ENSG00000284461.2	RP11-792A8.5	protein_coding	novel transcript	0.215	0.136	0.866	0.439
ENSG00000179889	ENSG00000179889.18	PDXDC1	protein_coding	pyridoxal dependent decarboxylase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28995]	0.0735	0.136	0.866	0.439
ENSG00000223558	ENSG00000223558.1	TRIM60P17	processed_pseudogene	tripartite motif containing 60 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:38489]	-0.284	0.136	0.866	0.439
ENSG00000140497	ENSG00000140497.16	SCAMP2	protein_coding	secretory carrier membrane protein 2 [Source:HGNC Symbol;Acc:HGNC:10564]	0.0646	0.136	0.866	0.439
ENSG00000164736	ENSG00000164736.5	SOX17	protein_coding	SRY-box transcription factor 17 [Source:HGNC Symbol;Acc:HGNC:18122]	-0.177	0.136	0.865	0.439
ENSG00000261188	ENSG00000261188.1	CTA-445C9.14	lncRNA	TFIP11 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55374]	0.131	0.136	0.865	0.439
ENSG00000172062	ENSG00000172062.16	SMN1	protein_coding	survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:HGNC:11117]	0.13	0.136	0.865	0.439
ENSG00000187240	ENSG00000187240.13	DYNC2H1	protein_coding	dynein cytoplasmic 2 heavy chain 1 [Source:HGNC Symbol;Acc:HGNC:2962]	-0.125	0.136	0.865	0.439
ENSG00000149823	ENSG00000149823.8	VPS51	protein_coding	VPS51 subunit of GARP complex [Source:HGNC Symbol;Acc:HGNC:1172]	0.0753	0.136	0.865	0.439
ENSG00000274895	ENSG00000274895.1	RP11-478J18.2	lncRNA	novel transcript, antisense to PROX1	0.225	0.137	0.865	0.439
ENSG00000165457	ENSG00000165457.13	FOLR2	protein_coding	folate receptor beta [Source:HGNC Symbol;Acc:HGNC:3793]	-0.259	0.137	0.865	0.44
ENSG00000100934	ENSG00000100934.14	SEC23A	protein_coding	SEC23 homolog A, COPII coat complex component [Source:HGNC Symbol;Acc:HGNC:10701]	-0.0555	0.137	0.864	0.44
ENSG00000127530	ENSG00000127530.3	OR7C1	protein_coding	olfactory receptor family 7 subfamily C member 1 [Source:HGNC Symbol;Acc:HGNC:8373]	-0.407	0.137	0.864	0.44
ENSG00000146205	ENSG00000146205.13	ANO7	protein_coding	anoctamin 7 [Source:HGNC Symbol;Acc:HGNC:31677]	-0.279	0.137	0.864	0.44
ENSG00000215571	ENSG00000215571.5	RP11-463M3.1	processed_pseudogene	G protein-coupled receptor kinase 6 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:4547]	-0.254	0.137	0.864	0.44
ENSG00000159882	ENSG00000159882.12	ZNF230	protein_coding	zinc finger protein 230 [Source:HGNC Symbol;Acc:HGNC:13024]	-0.089	0.137	0.864	0.44
ENSG00000182484	ENSG00000182484.15	WASH6P	protein_coding	WASP family homolog 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31685]	0.109	0.137	0.864	0.44
ENSG00000182484	ENSG00000182484.15_PAR_Y	WASH6P	protein_coding	WASP family homolog 6, pseudogene [Source:HGNC Symbol;Acc:HGNC:31685]	0.109	0.137	0.864	0.44
ENSG00000278475	ENSG00000278475.1	RP11-19E18.2	lncRNA	novel transcript, sense intronic to ARID2	0.167	0.137	0.864	0.44
ENSG00000254765	ENSG00000254765.1	RP11-1H15.1	processed_pseudogene	glutamate-ammonia ligase (GLUL) pseudogene	0.445	0.137	0.864	0.44
ENSG00000139211	ENSG00000139211.6	AMIGO2	protein_coding	adhesion molecule with Ig like domain 2 [Source:HGNC Symbol;Acc:HGNC:24073]	-0.259	0.137	0.863	0.44
ENSG00000115145	ENSG00000115145.9	STAM2	protein_coding	signal transducing adaptor molecule 2 [Source:HGNC Symbol;Acc:HGNC:11358]	-0.0489	0.137	0.863	0.44
ENSG00000090975	ENSG00000090975.12	PITPNM2	protein_coding	phosphatidylinositol transfer protein membrane associated 2 [Source:HGNC Symbol;Acc:HGNC:21044]	-0.127	0.137	0.863	0.441
ENSG00000110880	ENSG00000110880.10	CORO1C	protein_coding	coronin 1C [Source:HGNC Symbol;Acc:HGNC:2254]	0.123	0.137	0.863	0.441
ENSG00000070831	ENSG00000070831.15	CDC42	protein_coding	cell division cycle 42 [Source:HGNC Symbol;Acc:HGNC:1736]	0.0572	0.137	0.862	0.441
ENSG00000214401	ENSG00000214401.4	RP11-197O15.1	lncRNA	KANSL1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:43740]	-0.307	0.137	0.862	0.441
ENSG00000144712	ENSG00000144712.11	CAND2	protein_coding	cullin associated and neddylation dissociated 2 (putative) [Source:HGNC Symbol;Acc:HGNC:30689]	0.0817	0.137	0.862	0.441
ENSG00000228623	ENSG00000228623.6	ZNF883	transcribed_unprocessed_pseudogene	zinc finger protein 883 [Source:HGNC Symbol;Acc:HGNC:27271]	-0.264	0.137	0.862	0.441
ENSG00000198205	ENSG00000198205.6	ZXDA	protein_coding	zinc finger X-linked duplicated A [Source:HGNC Symbol;Acc:HGNC:13198]	0.0822	0.137	0.862	0.441
ENSG00000166311	ENSG00000166311.9	SMPD1	protein_coding	sphingomyelin phosphodiesterase 1 [Source:HGNC Symbol;Acc:HGNC:11120]	0.0931	0.137	0.862	0.441
ENSG00000108578	ENSG00000108578.14	BLMH	protein_coding	bleomycin hydrolase [Source:HGNC Symbol;Acc:HGNC:1059]	0.0674	0.137	0.862	0.441
ENSG00000231259	ENSG00000231259.4	AC125232.1	unprocessed_pseudogene	ANAPC1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:54708]	-0.12	0.137	0.862	0.441
ENSG00000279066	ENSG00000279066.1	HEXDC-IT1	lncRNA	HEXD intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:43650]	-0.184	0.137	0.862	0.441
ENSG00000181381	ENSG00000181381.13	DDX60L	protein_coding	DExD/H-box 60 like [Source:HGNC Symbol;Acc:HGNC:26429]	-0.0858	0.137	0.862	0.441
ENSG00000111704	ENSG00000111704.10	NANOG	protein_coding	Nanog homeobox [Source:HGNC Symbol;Acc:HGNC:20857]	-0.212	0.137	0.862	0.441
ENSG00000235609	ENSG00000235609.7	AF127936.9	lncRNA	novel transcript	-0.102	0.138	0.861	0.441
ENSG00000161533	ENSG00000161533.11	ACOX1	protein_coding	acyl-CoA oxidase 1 [Source:HGNC Symbol;Acc:HGNC:119]	0.0688	0.138	0.861	0.441
ENSG00000115946	ENSG00000115946.7	PNO1	protein_coding	partner of NOB1 homolog [Source:HGNC Symbol;Acc:HGNC:32790]	0.087	0.138	0.861	0.441
ENSG00000139163	ENSG00000139163.15	ETNK1	protein_coding	ethanolamine kinase 1 [Source:HGNC Symbol;Acc:HGNC:24649]	-0.0552	0.138	0.861	0.441
ENSG00000134049	ENSG00000134049.5	IER3IP1	protein_coding	immediate early response 3 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:18550]	0.0829	0.138	0.861	0.441
ENSG00000137845	ENSG00000137845.14	ADAM10	protein_coding	ADAM metallopeptidase domain 10 [Source:HGNC Symbol;Acc:HGNC:188]	-0.061	0.138	0.861	0.441
ENSG00000113657	ENSG00000113657.12	DPYSL3	protein_coding	dihydropyrimidinase like 3 [Source:HGNC Symbol;Acc:HGNC:3015]	0.14	0.138	0.861	0.441
ENSG00000003393	ENSG00000003393.14	ALS2	protein_coding	alsin Rho guanine nucleotide exchange factor ALS2 [Source:HGNC Symbol;Acc:HGNC:443]	0.0442	0.138	0.861	0.441
ENSG00000203734	ENSG00000203734.11	ECT2L	protein_coding	epithelial cell transforming 2 like [Source:HGNC Symbol;Acc:HGNC:21118]	-0.353	0.138	0.861	0.441
ENSG00000142330	ENSG00000142330.19	CAPN10	protein_coding	calpain 10 [Source:HGNC Symbol;Acc:HGNC:1477]	-0.0682	0.138	0.861	0.441
ENSG00000162650	ENSG00000162650.16	ATXN7L2	protein_coding	ataxin 7 like 2 [Source:HGNC Symbol;Acc:HGNC:28713]	0.176	0.138	0.861	0.441
ENSG00000130511	ENSG00000130511.15	SSBP4	protein_coding	single stranded DNA binding protein 4 [Source:HGNC Symbol;Acc:HGNC:15676]	0.1	0.138	0.861	0.441
ENSG00000196668	ENSG00000196668.3	LINC00173	lncRNA	long intergenic non-protein coding RNA 173 [Source:HGNC Symbol;Acc:HGNC:33791]	-0.241	0.138	0.86	0.441
ENSG00000161970	ENSG00000161970.13	RPL26	protein_coding	ribosomal protein L26 [Source:HGNC Symbol;Acc:HGNC:10327]	-0.0724	0.138	0.86	0.441
ENSG00000107960	ENSG00000107960.10	OBFC1	protein_coding	STN1 subunit of CST complex [Source:HGNC Symbol;Acc:HGNC:26200]	-0.0905	0.138	0.86	0.441
ENSG00000077254	ENSG00000077254.14	USP33	protein_coding	ubiquitin specific peptidase 33 [Source:HGNC Symbol;Acc:HGNC:20059]	-0.0376	0.138	0.86	0.441
ENSG00000141519	ENSG00000141519.14	CCDC40	protein_coding	coiled-coil domain containing 40 [Source:HGNC Symbol;Acc:HGNC:26090]	0.162	0.138	0.86	0.441
ENSG00000123728	ENSG00000123728.9	RAP2C	protein_coding	RAP2C, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:21165]	0.054	0.138	0.86	0.441
ENSG00000020181	ENSG00000020181.17	ADGRA2	protein_coding	adhesion G protein-coupled receptor A2 [Source:HGNC Symbol;Acc:HGNC:17849]	-0.109	0.138	0.86	0.441
ENSG00000174236	ENSG00000174236.3	REP15	protein_coding	RAB15 effector protein [Source:HGNC Symbol;Acc:HGNC:33748]	-0.161	0.138	0.86	0.441
ENSG00000143363	ENSG00000143363.15	PRUNE	protein_coding	prune exopolyphosphatase 1 [Source:HGNC Symbol;Acc:HGNC:13420]	0.0647	0.138	0.86	0.441
ENSG00000109016	ENSG00000109016.17	DHRS7B	protein_coding	dehydrogenase/reductase 7B [Source:HGNC Symbol;Acc:HGNC:24547]	0.104	0.138	0.86	0.441
ENSG00000147403	ENSG00000147403.16	RPL10	protein_coding	ribosomal protein L10 [Source:HGNC Symbol;Acc:HGNC:10298]	-0.0737	0.138	0.86	0.441
ENSG00000058866	ENSG00000058866.14	DGKG	protein_coding	diacylglycerol kinase gamma [Source:HGNC Symbol;Acc:HGNC:2853]	0.177	0.138	0.86	0.441
ENSG00000232346	ENSG00000232346.1	SC22CB-1E7.1	processed_pseudogene	ribosomal protein S17 (RPS17) pseudogene	-0.665	0.138	0.86	0.441
ENSG00000130283	ENSG00000130283.8	GDF1	protein_coding	growth differentiation factor 1 [Source:HGNC Symbol;Acc:HGNC:4214]	0.155	0.138	0.86	0.441
ENSG00000234912	ENSG00000234912.11	LINC00338	lncRNA	small nucleolar RNA host gene 20 [Source:HGNC Symbol;Acc:HGNC:33099]	0.0856	0.138	0.859	0.442
ENSG00000270112	ENSG00000270112.3	RP11-742D12.2	lncRNA	ST8SIA5 divergent transcript [Source:HGNC Symbol;Acc:HGNC:55267]	-0.319	0.138	0.859	0.442
ENSG00000174944	ENSG00000174944.8	P2RY14	protein_coding	purinergic receptor P2Y14 [Source:HGNC Symbol;Acc:HGNC:16442]	-0.161	0.138	0.859	0.442
